Source,
102.132.97.11,Facebook
102.132.97.13,
102.132.97.18,
102.132.97.27,
102.132.97.34,
102.132.97.55,
102.132.97.63,
104.18.8.52,CloudFlare
104.18.9.52,
104.26.14.72,
104.26.15.72,
116.202.28.253,
116.202.31.138,
142.250.110.188,google data center
142.250.147.188,
142.250.200.206,
142.250.200.234,
142.250.201.10,
142.250.201.35,
142.250.203.238,
142.251.37.170,
142.251.37.197,
142.251.37.34,
157.240.253.1,
17.253.73.207,
17.36.206.5,
17.57.146.163,
172.217.171.234,
172.217.18.46,
174.129.181.109,
178.79.238.79,
18.202.8.3,
185.151.204.10,
185.151.204.11,
185.151.204.13,
185.151.204.15,
185.151.204.7,
185.151.204.8,
185.151.204.9,
188.34.203.56,
192.168.137.1,
192.168.137.160,
192.168.137.195,
192.46.238.103,
196.204.115.35,
196.204.5.11,
2.20.227.237,
2.23.30.175,
216.239.36.127,
216.58.198.67,
216.58.198.74,
216.58.205.202,
216.58.208.99,
3.220.242.119,
34.110.179.88,
34.149.127.98,
34.149.159.73,
34.149.214.34,
34.241.124.64,
34.95.120.195,
34.96.113.148,
35.156.200.14,
35.157.96.216,
35.167.188.160,
35.227.244.186,
35.227.249.185,
35.241.52.229,
52.17.22.130,
52.18.39.232,
52.18.8.44,
52.209.66.202,
52.212.67.86,
52.214.64.193,
52.217.109.110,
52.217.96.38,
52.34.150.176,
52.4.211.28,
52.51.167.251,
52.86.52.26,
54.167.181.158,
54.231.224.96,
54.74.112.64,
63.32.207.88,
68.142.107.60,
78.47.110.190,
78.47.172.202,
78.47.48.103,
86:fd:d1:c8:a4:4c,
99.80.55.223,
fe80::5250:8b53:37d5:ebde,
fe80::a2e1:7d8d:4496:d50b,
fe80::ab:7b3a:d4b:6e78,
fe80::cb5:63ff:fec1:8993,
